hex,flight,registration,aircraft,departure_time,departure_lat,departure_lon,departure_iata,departure_name,arrival_time,arrival_lat,arrival_lon,arrival_name,arrival_iata,airline,likely_departure_destination,likely_arrival_destination
a8b479,TYSON51 ,N660CP,B737,00:02.2,41.625195,-87.429199,GYY,GaryChicago International,30:02.8,39.292393,-94.7267,Kansas City International Airport,MCI,Eastern Air Express,GaryChicago International,FCI Leavenworth
a835d1,TYSON46 ,N628VA,A320,30:02.2,41.622681,-87.491989,GYY,GaryChicago International,30:02.8,39.165939,-94.74305,Kansas City International Airport,MCI,Global X Airlines,GaryChicago International,FCI Leavenworth
a2f016,TYSON41 ,N289GX,A320,00:02.2,41.616268,-87.40918,GYY,GaryChicago International,30:02.0,39.293056,-94.726654,Kansas City International Airport,MCI,Global X Airlines,GaryChicago International,FCI Leavenworth
ad563d,TYSON53 ,N959BP,B737,30:03.2,41.617443,-87.409782,GYY,GaryChicago International,30:02.4,39.292168,-94.726715,Kansas City International Airport,MCI,Eastern Air Express,GaryChicago International,FCI Leavenworth
a2f9dd,TYSON46 ,N291GX,A320,00:02.3,41.617115,-87.413391,GYY,GaryChicago International,30:02.6,39.279289,-94.587708,Kansas City International Airport,MCI,Global X Airlines,GaryChicago International,FCI Leavenworth
a8b479,TYSON   ,N660CP,B737,00:04.6,14.575413,-90.530716,GUA,La Aurora International Airport,00:02.7,29.484512,-98.410667,Martindale Army Heliport,MDA,Eastern Air Express,La Aurora International Airport,Martindale Army Heliport
a8d231,,N668CP,B737,00:03.3,31.373749,-92.5896,AEX,Alexandria International Airport,30:02.9,29.485199,-98.390488,Martindale Army Heliport,MDA,Eastern Air Express,Central Louisiana ICE Processing Center,Martindale Army Heliport
a8d231,,N668CP,B737,00:03.3,31.373749,-92.5896,AEX,Alexandria International Airport,30:02.9,29.485199,-98.390488,Martindale Army Heliport,MDA,Eastern Air Express,Central Louisiana ICE Processing Center,Martindale Army Heliport
a8d231,TYSON52 ,N668CP,B737,30:03.5,42.465416,-71.279488,BED,Hanscom Field,30:02.4,40.285095,-76.751297,Harrisburg International Airport,MDT,Eastern Air Express,None,Harrisburg International Airport
a835d1,TYSON46 ,N628VA,A320,30:02.3,42.46529,-71.279968,BED,Hanscom Field,00:04.2,40.192886,-76.752144,Harrisburg International Airport,MDT,Global X Airlines,None,Harrisburg International Airport
a2f016,TYSON42 ,N289GX,A320,30:02.5,31.320578,-92.369148,ESF,Esler Field,00:02.8,40.191956,-76.748962,Harrisburg International Airport,MDT,Global X Airlines,Esler Field,Harrisburg International Airport
a835d1,TYSON46 ,N628VA,A320,30:02.3,42.46529,-71.279968,BED,Hanscom Field,00:04.2,40.192886,-76.752144,Harrisburg International Airport,MDT,Global X Airlines,None,Harrisburg International Airport
a8d231,TYSON52 ,N668CP,B737,30:03.5,42.465416,-71.279488,BED,Hanscom Field,30:02.4,40.285095,-76.751297,Harrisburg International Airport,MDT,Eastern Air Express,None,Harrisburg International Airport
a2f016,TYSON42 ,N289GX,A320,30:02.5,31.320578,-92.369148,ESF,Esler Field,00:02.8,40.191956,-76.748962,Harrisburg International Airport,MDT,Global X Airlines,Esler Field,Harrisburg International Airport
a2d25e,,N281GX,A320,30:03.4,37.896423,-80.365631,LWB,Greenbrier Valley Airport,30:02.9,35.019882,-89.972366,Memphis International Airport,MEM,Global X Airlines,Greenbrier Valley Airport,Memphis International Airport
a2d25e,GXA120  ,N281GX,A320,30:02.6,25.791756,-80.281975,MIA,Miami International Airport,00:02.7,35.043686,-89.97081,Memphis International Airport,MEM,Global X Airlines,Krome North Service Processing Center,Memphis International Airport
ad7274,TYSON42 ,N966AD,A321,00:02.5,19.755234,-74.507027,BCA,Baracoa,30:02.8,12.144001,-86.169563,Augusto C Sandino International Airport,MGA,Global X Airlines,Baracoa,Augusto C Sandino International Airport
a75013,TYSON41 ,N570TA,A321,00:02.1,31.363174,-92.580521,AEX,Alexandria International Airport,30:02.9,12.141045,-86.163185,Augusto C Sandino International Airport,MGA,Global X Airlines,Central Louisiana ICE Processing Center,Augusto C Sandino International Airport
ad7274,TYSON42 ,N966AD,A321,00:02.5,19.755234,-74.507027,BCA,Baracoa,30:02.8,12.144001,-86.169563,Augusto C Sandino International Airport,MGA,Global X Airlines,Baracoa,Augusto C Sandino International Airport
ad7274,TYSON41 ,N966AD,A321,30:03.5,31.364012,-92.583054,AEX,Alexandria International Airport,00:02.1,12.144012,-86.169563,Augusto C Sandino International Airport,MGA,Global X Airlines,Central Louisiana ICE Processing Center,Augusto C Sandino International Airport
ad7274,TYSON42 ,N966AD,A321,00:02.7,31.376488,-92.591843,AEX,Alexandria International Airport,00:02.7,12.140396,-86.15818,Augusto C Sandino International Airport,MGA,Global X Airlines,Central Louisiana ICE Processing Center,Augusto C Sandino International Airport
ad7274,TYSON42 ,N966AD,A321,00:02.7,31.376488,-92.591843,AEX,Alexandria International Airport,00:02.7,12.140396,-86.15818,Augusto C Sandino International Airport,MGA,Global X Airlines,Central Louisiana ICE Processing Center,Augusto C Sandino International Airport
ad7274,TYSON41 ,N966AD,A321,30:03.5,31.364012,-92.583054,AEX,Alexandria International Airport,00:02.1,12.144012,-86.169563,Augusto C Sandino International Airport,MGA,Global X Airlines,Central Louisiana ICE Processing Center,Augusto C Sandino International Airport
a2c129,TYSON45 ,N277GX,A321,30:02.6,31.362442,-92.580116,AEX,Alexandria International Airport,30:02.2,12.201202,-86.556366,Augusto C Sandino International Airport,MGA,Global X Airlines,Central Louisiana ICE Processing Center,Augusto C Sandino International Airport
a2c129,TYSON45 ,N277GX,A321,30:02.6,31.362442,-92.580116,AEX,Alexandria International Airport,30:02.2,12.201202,-86.556366,Augusto C Sandino International Airport,MGA,Global X Airlines,Central Louisiana ICE Processing Center,Augusto C Sandino International Airport
